Type.of.feeding.interaction,Predator.lifestage,Location,Slope,Intercept,R.squared,F.statistic,P.value
planktivorous,adult,Eastern Mediterranean,-0.188526023745904,1.5578783039798,0.00077796106926157,0.0140142017500866,0.907076397953721
planktivorous,adult,French Polynesian EEZ,0.0631832278723198,10.2425928591287,0.0480008709870067,6.85727355759357,0.00982944116500029
planktivorous,juvenile,Gulf of Alaska,0.168911383542265,2.61342271573401,1,NA,NA
planktivorous,larva,Antarctic Peninsula,1.0207753817686,11.1598881317021,0.330043815585915,156.165271662108,2.07689904819009e-29
planktivorous,larva,Catalan Sea,0.257653872395839,-2.19426552537672,0.280072857461197,170.005867925651,4.70821273070676e-33
planktivorous,larva,Greenland,0.258813702633504,-2.05086434618492,0.0982205090743172,5.1191715634985,0.0283256454055265
planktivorous,larva,Western North Pacific,0.161010317505003,-3.44871842565978,0.0857054685549205,20.2477216817684,1.11138645151141e-05
planktivorous,larva / juvenile,Strait of Georgia,0.537539976546299,5.08312949598501,0.2383099678989,36.918661170477,1.55071505486178e-08
planktivorous,postlarva/juvenile,Antarctic Peninsula,0.675479706794872,6.81310614810303,0.231238785388307,78.8080363840131,1.10590667174295e-16
predacious,adult,Atlantic Ocean,0.20589271769404,6.89914238491718,0.168513283612109,1031.15969277666,3.52233438036028e-206
predacious,adult,Cape Cod Bay; Gulf of Maine; New England,0.0294846614061538,12.667694092929,0.0302655879145218,0.436942554087641,0.519332318863778
predacious,adult,Eastern Mediterranean,0.171119695188261,1.77465298135465,0.0232312986385009,5.18487447041862,0.0237546050509434
predacious,adult,French Polynesian EEZ,-0.0138206603455187,9.75686769613354,0.00181756641442428,3.62354319511697,0.0571115661405521
predacious,adult,Great Channel South; Gulf of Maine; New England,0.357253501132582,12.5263754272109,0.197889961568321,5.42765823379468,0.0293962572369465
predacious,adult,Gulf of Maine; New England,-5.8170431150463e-15,12.0317192583854,0.422621943704169,2.19590235078641,0.323133640956425
predacious,adult,Jeffreys Ledge; Gulf of Maine; New England,-0.0283090245871117,11.7555841576777,0.00621738162868263,0.218969775664344,0.642726920235099
predacious,adult,Mid Atlantic,0.358208680187524,3.76625484911866,0.657742185314355,69.1838656571366,6.6732870735388e-10
predacious,adult,Off the Bay of Biscay,0.203506978120733,10.4197372146788,0.0873452550974306,45.0768654638197,5.46572575916836e-11
predacious,adult,South of Marthas Vineyard; New England,0.0583894765003333,10.1808028012821,0.00265210461319652,0.0717972383433311,0.790774221951632
predacious,adult,Stellwagen Bank; Gulf of Maine; New England,0.182768954519519,12.6221600511456,0.206194400151178,1.29877138804795,0.306072332500695
predacious,juvenile,Gulf of Alaska,0.049375200497881,1.03740927157129,0.233159571052914,12.4661429579231,0.00103966946595515
predacious,juvenile,Off the Bay of Biscay,7.45851832490177e-16,8.62335338724469,0.500138266010441,600.331930214392,0.488887342396176
predacious,juvenile,Oxwich Bay; Wales,0.0778070237368163,-0.594631029295351,0.0805459740919785,115.021372469739,8.77947893508722e-26
predacious,juvenile,W Greenland,0.211068293434798,-0.222974995676025,0.28726820046152,56.4273238413876,6.25892370613648e-12
predacious,larva,Andaman Sea (West of South Thailand),0.941421745921814,7.00529694337676,0.412420670135113,22.4607312979481,4.2333643644933e-05
predacious,larva,Antarctic Peninsula,0.724801160896602,7.41883913802823,0.637066906559136,1662.29636099526,1.22794430266837e-210
predacious,larva,Western North Pacific,0.150488902922313,-2.66286554355492,0.146191921213292,38.8677115383766,2.18738751251497e-09
predacious,larva / juvenile,NE North Sea and Skaggerak,1.09890063283713,10.4119448445479,0.715421579592819,47.7654278662958,1.36957984453215e-06
predacious,larva / juvenile,Strait of Georgia,0.88300095710698,8.33400945206013,0.489751949277145,445.361631744921,8.4677408469454e-70
predacious,postlarva,Antarctic Peninsula,0.15403834606651,-1.61375195212254,0.109207422360888,8.58170550266892,0.00458060708606845
predacious,postlarva/juvenile,Antarctic Peninsula,0.232955400394708,1.94865346657023,0.144074981970456,98.9760640408157,1.17383192983109e-21
predacious/piscivorous,adult,Apalachicola Bay; Florida,0.621895377669317,4.72504035144858,0.384283752048305,34.9509862477974,2.11324894527802e-07
predacious/piscivorous,adult,Crooked Island Sound; Florida,0.50644882649248,4.79484784084579,0.293713022751524,42.0013624114544,3.37813443070404e-09
